9;Cap. Art. 54 Trabajos en Caliente;;Área SSOMA;Según puesto;Programado en el mes ;Planeado;1;;1;;;1;;;1;;;1;5;#¡REF!;60%;Capacitación al personal que aplique;;Planeado;1;136;0;;1;194;0;;0;;1;171;0;;0;;1;;0;;0;;1
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;1;;0;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0
10;Cap. Art. 54 Excavación de zanja;;Área SSOMA;Según puesto;Programado en el mes ;Planeado;;;1;;;;1;;;;1;;3;#¡REF!;33%;Capacitación al personal que aplique;;Planeado;0;;0;;1;173;0;;0;;0;;1;;0;;0;;0;;1;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0
11;Cap. Art. 54 Trabajos en Altura;;Área SSOMA;Según puesto;Programado en el mes ;Planeado;;1;;;;;;;;;;;1;#¡REF!;100%;Capacitación al personal que aplique;;Planeado;0;;1;163;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
12;Cap. Art. 54  Sistema de bloqueo rotulado y etiquetado;;Área SSOMA;Según puesto;Programado en el mes ;Planeado;;;1;;;1;;;;;1;;3;#¡REF!;67%;Capacitación al personal que aplique;;Planeado;0;;0;;1;158;0;;0;;1;206;0;;0;;0;;0;;1;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0
13;Cap. Art. 54  Izaje de Carga;;Área SSOMA;Según puesto;Programado en el mes ;Planeado;;1;;;1;;;1;;;1;;4;#¡REF!;50%;Capacitación al personal que aplique;;Planeado;0;;1;;0;;0;;1;204;0;;0;;1;;0;;0;;1;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0
14;Cap. Art. 54  trabajos de espacio confinados;;Área SSOMA;Según puesto;Programado en el mes ;Planeado;;1;;;;1;;;;1;;;3;#¡REF!;67%;Capacitación al personal que aplique;;Planeado;0;;1;143;0;;0;;0;;1;190;0;;0;;0;;1;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;1;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0
15;Cap. Art. 54 Ergonomía;;Área SSOMA;Según puesto;Programado en el mes ;Planeado;;;1;;;1;;;1;;;1;4;#¡REF!;50%;Capacitación al personal que aplique;;Planeado;0;;0;;1;143;0;;0;;1;199;0;;0;;1;;0;;0;;1
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0
16;Cap. Art. 54 Trabajos eléctricos;;Área SSOMA;Según puesto;Programado en el mes ;Planeado;;1;;;;1;;;;1;;;3;#¡REF!;67%;Capacitación al personal que aplique;;Planeado;0;;1;158;0;;0;;0;;1;;0;;0;;0;;1;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;1;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0
17;Cap. COVID 19  - RM022/MINSA;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;1;;;;;;;;;1;#¡REF!;100%;Sensibilización;;Planeado;0;;0;;0;;1;150;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0
18;Cap. Salud Mental Salud Mental - Ley 30947;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;;;;;1;;1;#¡REF!;0%;Sensibilización;;Planeado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
19;Cap. Efectos de la radiación Solar;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;1;;;;;1;;;;;;;2;#¡REF!;100%;Sensibilización;;Planeado;1;148;0;;0;;0;;0;;1;200;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;1;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0
20;Cap. Radiación ultravioleta;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;1;;;;;;;1;#¡REF!;100%;Sensibilización;;Planeado;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0
21;Campaña ATS (Peligro, Riesgo, Medidas de control, Riesgo inicial, residual).;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;1;;;;;;;;;;;1;#¡REF!;100%;Campaña;;Planeado;0;;1;400;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
22;Campaña de interacción hombre maquina;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;1;;;;;;;;;;1;#¡REF!;100%;Campaña;;Planeado;0;;0;;1;162;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0
23;Campaña de protección de manos;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;1;;;;;;;1;#¡REF!;100%;Campaña;;Planeado;0;;0;;0;;0;;0;;1;577;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0
24;Campaña de uso de cinturón de seguridad;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;;;1;;;;1;#¡REF!;0%;Campaña;;Planeado;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
25;Campaña de vida saludable;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;;1;;;;;1;#¡REF!;0%;Campaña;;Planeado;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
26;Campaña COVID 19;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;1;;;;;;;;1;#¡REF!;100%;Campaña;;Planeado;0;;0;;0;;0;;1;191;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0
27;Campaña prevención del estrés;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;1;;;;;;1;#¡REF!;0%;Campaña;;Planeado;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
28;Campaña del VIH SIDA;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;;;;;1;;1;#¡REF!;0%;Campaña;;Planeado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
29;Difusión del PASST ;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;1;;;;;;;;;;;1;#¡REF!;100%;Difusión;;Planeado;0;;1;138;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
30;Herramientas manuales y eléctricas;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;1;;;;1;;;;1;;3;#¡REF!;33%;Sensibilización;;Planeado;0;;0;;1;195;0;;0;;0;;1;;0;;0;;0;;1;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0
31;Control de materiales y químicos peligrosos hoja MSDS;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;1;;;;;;;;1;#¡REF!;100%;Sensibilización;;Planeado;0;;0;;0;;0;;1;213;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0
32;Riesgos de seguridad y salud por polvo;;Área SSOMA;Personal especifico;Programado en el mes ;Planeado;;;;1;;;;;;;;;1;#¡REF!;100%;Sensibilización;;Planeado;0;;0;;0;;1;170;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0
33;Enfermedades respiratorias ocupacionales;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;1;;;;;;;;;;;;1;#¡REF!;100%;Sensibilización;;Planeado;1;114;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
34;Primeros auxilios;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;;;;;;;0;#¡REF!;0%;Sensibilización;;Planeado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
35;Hipoacusia;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;;;;;;;0;#¡REF!;0%;Sensibilización;;Planeado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
36;Cuidado de ojo;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;;;;;;;0;#¡REF!;0%;Sensibilización;;Planeado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Planeado;5;10;9;4;6;11;5;5;6;4;9;5;79;;57%;;;Planeado;5;;10;;9;;4;;6;;11;;5;;5;;6;;4;;9;;5
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;Ejecutado;5;;10;;9;;4;;6;;11;;0;;0;;0;;0;;0;;0
;;;;;;% de cump.;100%;100%;100%;100%;100%;100%;0%;0%;0%;0%;0%;0%;57%;;;;;% de cump.;100%;;100%;;100%;;100%;;100%;;100%;;0%;;0%;;0%;;0%;;0%;;0%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Objetivo General 3 :;;Identificar y evaluar permanentemente los peligros y controlar los riesgos con el propósito de eliminarlos o reducirlos y así proporcionar condiciones de trabajo seguras y saludables para la prevención de lesiones, dolencias, enfermedades e incidentes relacionados con el trabajo, minimizando la ocurrencia de accidentes de trabajo y enfermedades profesionales de nuestros colaboradores, proveedores y terceros. ;;;;;Objetivos Específico:;;;;Se elabora un plan de inspección, se implementará el sistema de reportes de actos y condiciones con el propósito de eliminarlos o reducirlos los lesiones, dolencias, enfermedades e incidentes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta:;;Ejecutar las inspecciones como como meta 90 aceptable 85%;;Objetivo 3 目標3;;;Indicador:;;;;"  inspecciones Ejecutadas    x 100
inspecciones Planificadas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presupuesto:;;Lo que requiera cada actividad;;;;;Recursos:;;;;Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
III. Inspecciones;;;;;;;;;;;;;;;;;;;;;;Observaciones;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;DETALLE DE LA ACTIVIDAD;;RESPONSABLES;ZONA;EJECUCIÓN;;;;;;;;;;;;;;TOTAL;;% Avance;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Período;Plan;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Inspecciones y observaciones maquinaria Línea amarilla (Excavadoras, retro, perforadora, cargador, tractor);;SSOMA;Pq2;Programado en el mes ;Planeado;6;6;6;6;6;6;6;6;6;6;6;6;72.00;;50%;Se cuenta con trabajos eventuales en sitio;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Inspecciones y observaciones vehículos (Volquetes, camionetas, camiones.);;SSOMA;Pq2;Programado en el mes ;Planeado;6;6;6;6;6;6;6;6;6;6;6;6;72.00;;50%;Se inicia en el mes de julio debido a ingreso a sitio;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Inspección de Equipos de Emergencia (Botiquines y estaciones.);;SSOMA;Pq2;Programado en el mes ;Planeado;12;12;12;12;12;12;12;12;12;12;12;12;144.00;;50%;"Extintores
Botiquín entre otros";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Inspección de Equipos de Emergencia (Extintores);;SSOMA;Pq2;Programado en el mes ;Planeado;12;12;12;12;12;12;12;12;12;12;12;12;144.00;;49%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Inspección de Herramientas manuales y eléctricas;;SSOMA;Pq2;Programado en el mes ;Planeado;1;1;1;1;4;4;4;4;4;4;4;4;36.00;;33%;Inspección en sitio;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Inspección de generador, tableros eléctrico ;;SSOMA;Pq2;Programado en el mes ;Planeado;3;3;3;3;3;3;3;3;3;3;3;3;36.00;;44%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Inspección de EPP básico o especifico;;SSOMA;Pq2;Programado en el mes ;Planeado;2;2;2;2;4;4;4;4;4;4;4;4;40.00;;40%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Inspección de Señalización Vial ;;SSOMA;Pq2;Programado en el mes ;Planeado;2;2;2;2;2;2;2;2;2;2;2;2;24.00;;50%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Inspección de vías de acceso y bermas de seguridad plataformas de descarga de material;;SSOMA;Pq2;Programado en el mes ;Planeado;4;4;4;4;4;4;4;4;4;4;4;4;48.00;;48%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Inspección de Señalización de Obra ;;SSOMA;Pq2;Programado en el mes ;Planeado;2;2;2;2;2;2;2;2;2;2;2;2;24.00;;46%;;;;;;;;;;;;;;;;;;;;;;;;;;
